utc_iso,board_timestamp,sample_index,label,trial_id,phase,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
2026-06-14T08:31:01.811109+00:00,1781425861.650188,112,Rest,trial_20260614_142816_r05_rest,rest,19995.021223428397,3482.6923588147592,-41812.2684135757,-56540.07870436653,-15367.360754890533,-49671.94642686206,-34240.16794445133,-60932.15178634546,19773.11310447611,3260.672481140194,-41002.15178753755,-56323.06561744996,-15468.882378206537,-49889.38419692328,-34340.19200088883,-61145.923870316015
2026-06-14T08:31:01.811109+00:00,1781425861.650200,114,Rest,trial_20260614_142816_r05_rest,rest,20332.73373040363,3817.454435521893,-41953.48673504433,-56262.827666142904,-15034.878556117841,-49291.09505308808,-33879.0978645203,-60555.390781806804,20296.479200897124,3779.8811530925223,-42467.64391274976,-56608.85502205551,-15155.62267966541,-49354.261082918776,-34020.33853773338,-60616.165174980786
2026-06-14T08:31:01.811109+00:00,1781425861.650211,116,Rest,trial_20260614_142816_r05_rest,rest,19768.39688639604,3255.3080624709205,-40977.96720003691,-56315.57778305743,-15461.618061258563,-49881.49403113056,-34333.262960107684,-61136.93846904498,19931.586972664234,3418.0064103611007,-40792.179500124395,-56036.672715744106,-15269.527169409654,-49703.21651735503,-34123.44713490571,-60962.974841949326
2026-06-14T08:31:02.164676+00:00,1781425862.131296,118,Rest,trial_20260614_142816_r05_rest,rest,20299.720203843142,3786.1619932844633,-42454.05405212093,-56589.54311484613,-15139.66353412432,-49339.06189668917,-34000.3784299348,-60599.40136663931,19979.173836609585,3465.2356463951646,-41785.40161674042,-56529.819253661546,-15357.011897207725,-49662.893970357654,-34227.31569138953,-60920.05949259514
2026-06-14T08:31:02.164676+00:00,1781425862.131359,120,Rest,trial_20260614_142816_r05_rest,rest,19917.93005680204,3400.8849741083354,-40749.08533681457,-56030.25776508544,-15279.697213136818,-49716.806377983856,-34129.7056233532,-60974.26247289926,20321.2449337536,3807.016170861265,-41935.09124935761,-56257.19502654017,-15038.611297441877,-49302.114463104546,-33882.85295758879,-60565.31495634496
2026-06-14T08:31:02.164676+00:00,1781425862.131409,122,Rest,trial_20260614_142816_r05_rest,rest,19993.367194338705,3480.144259946854,-41818.50455027873,-56532.70262869628,-15349.166434903913,-49650.71226962951,-34217.48092382919,-60906.827259877595,19778.522226634293,3263.6676148972056,-41006.935060850985,-56321.277477893535,-15455.091351877612,-49870.675786814194,-34323.6517099919,-61124.93558227248
2026-06-14T08:31:02.164676+00:00,1781425862.131458,124,Rest,trial_20260614_142816_r05_rest,rest,20312.147773760295,3799.327170768639,-41905.206967020866,-56253.28347126049,-15037.78428289703,-49302.136814849,-33882.070646532855,-60564.51029354457,20308.30327371398,3795.1473945554967,-42456.646854477745,-56583.46344035429,-15129.717007841708,-49324.19798662639,-33988.35319141784,-60584.4480495987
2026-06-14T08:31:02.164676+00:00,1781425862.131508,126,Rest,trial_20260614_142816_r05_rest,rest,19773.582491109668,3258.7278793725827,-41003.69405790497,-56330.68756230922,-15444.898956405994,-49873.98384499358,-34320.23189309024,-61127.461329395934,19909.235228208927,3395.252334505598,-40769.85010741355,-56046.529835048896,-15273.863407833984,-49718.46040707355,-34132.14196349883,-60975.04478395519
2026-06-14T08:31:02.164676+00:00,1781425862.131557,128,Rest,trial_20260614_142816_r05_rest,rest,20293.796991562485,3781.043443804198,-42463.3747295588,-56594.63931258194,-15139.685885868776,-49341.118257179056,-33998.21031072263,-60596.96502649368,19983.018336655896,3468.387242363363,-41808.62507922949,-56539.877538666435,-15348.2723651257,-49659.87648485619,-34220.38665060838,-60913.7786524032
2026-06-14T08:31:02.164676+00:00,1781425862.131597,130,Rest,trial_20260614_142816_r05_rest,rest,19897.500562369893,3384.009407044579,-40735.18255176336,-56035.44336979907,-15283.921692838872,-49733.860759003255,-34139.65214963581,-60990.69100507391,20311.499573171088,3797.650789934491,-41892.824100592625,-56242.912261833226,-15031.92812584974,-49307.52358526273,-33878.47201567555,-60567.10309590139
2026-06-14T08:31:02.164676+00:00,1781425862.131612,132,Rest,trial_20260614_142816_r05_rest,rest,19988.829790214277,3476.0315389670777,-41843.15852441294,-56547.007745147675,-15346.305411613634,-49650.64521439615,-34218.397345351856,-60906.87196336651,19768.620403840592,3255.3751177042864,-41049.35867182716,-56346.1996729612,-15455.851311189093,-49877.805993295435,-34330.78191647314,-61131.55169863126
2026-06-14T08:31:02.164676+00:00,1781425862.131625,134,Rest,trial_20260614_142816_r05_rest,rest,20308.5938463919,3797.919010867955,-41863.409204889445,-56235.46913092961,-15035.817329384963,-49303.74614044978,-33882.22710874404,-60567.572482534946,20306.135154501815,3792.9345718544214,-42466.235752849076,-56586.41387062238,-15127.459481651722,-49323.639193015006,-33989.8731100408,-60583.62103505386
2026-06-14T08:31:02.164676+00:00,1781425862.131638,136,Rest,trial_20260614_142816_r05_rest,rest,19760.95375549242,3254.9951380485463,-41047.99521541539,-56342.936318270724,-15457.550043767696,-49869.31233040242,-34330.51369553968,-61123.79564330526,19898.484039125924,3390.647875147805,-40750.00175833723,-56041.97007918001,-15282.915864338383,-49721.835520486304,-34137.41697519028,-60978.82222876814
2026-06-14T08:31:02.164676+00:00,1781425862.131650,138,Rest,trial_20260614_142816_r05_rest,rest,20293.886398540308,3789.5371066972148,-42483.20072689065,-56596.31569341609,-15131.013409020115,-49326.54491979419,-33992.08593274187,-60586.03502345503,19977.81038019781,3473.1481639323433,-41831.55796904063,-56541.777436945136,-15349.524062815199,-49650.533455673874,-34220.38665060838,-60906.76020464423
2026-06-14T08:31:02.164676+00:00,1781425862.131664,140,Rest,trial_20260614_142816_r05_rest,rest,19875.238224892408,3377.3709389413525,-40715.088333498046,-56041.6795065021,-15289.21905627478,-49735.00069797048,-34143.54135317104,-60990.02045274025,20285.795067047486,3784.0609293056646,-41863.118632211525,-56238.46426468662,-15040.488843976122,-49316.12900687802,-33884.797559356404,-60576.289662872514
2026-06-14T08:31:02.164676+00:00,1781425862.131678,142,Rest,trial_20260614_142816_r05_rest,rest,19990.550874537334,3496.4610333992287,-41851.8310012616,-56532.63557346292,-15330.346266072544,-49622.213795448995,-34202.326441088495,-60875.512465895714,19762.227804926373,3264.8299056088813,-41076.292523895805,-56354.73803934313,-15453.191453598913,-49860.818667509404,-34326.71389898228,-61113.357378644636
2026-06-14T08:31:02.164676+00:00,1781425862.131692,144,Rest,trial_20260614_142816_r05_rest,rest,20275.24504366458,3784.1279845390304,-41831.08858240707,-56228.0707035149,-15041.517024221066,-49316.26311734475,-33890.2960884924,-60580.53649431903,20293.86404679585,3800.936496369421,-42469.655569750736,-56580.222437408265,-15119.569315858998,-49310.496367275286,-33983.9722495046,-60569.18180813573
2026-06-14T08:31:02.164676+00:00,1781425862.131704,146,Rest,trial_20260614_142816_r05_rest,rest,19740.09957791562,3249.965995546102,-41068.827041247736,-56362.22587373565,-15461.618061258563,-49878.67771132919,-34336.32514909806,-61136.08910275568,19861.178977630017,3370.732470838126,-40738.78118262067,-56054.30824211935,-15300.037300591148,-49744.67900331962,-34157.75706264461,-61006.22546747035
2026-06-14T08:31:02.164676+00:00,1781425862.131718,148,Rest,trial_20260614_142816_r05_rest,rest,20285.72801181412,3802.434063247927,-42474.17062213071,-56587.66556831188,-15119.636371092365,-49314.00559115477,-33986.18507220568,-60581.18469490823,19967.796798681833,3481.9771029921894,-41864.2809229232,-56554.696745240304,-15343.064408667615,-49643.9173393151,-34218.889083729875,-60905.016768576716
2026-06-14T08:31:02.164676+00:00,1781425862.131732,150,Rest,trial_20260614_142816_r05_rest,rest,19846.985619900897,3363.0658224899557,-40711.53440612965,-56054.934090964096,-15297.891533123438,-49749.21640744405,-34161.89213536884,-61012.88628731803,20260.045857434972,3775.9025425794775,-41815.39765779945,-56231.82579658339,-15039.17009105326,-49319.28060284622,-33892.37480072675,-60588.18079092274
2026-06-14T08:31:02.164676+00:00,1781425862.131744,152,Rest,trial_20260614_142816_r05_rest,rest,19980.09025813225,3497.8244898110024,-41874.741539328286,-56550.785189960625,-15326.345303815044,-49623.48784488295,-34205.63449926788,-60884.877846822485,19757.824511268678,3274.329397002387,-41087.55780310128,-56357.554359144495,-15444.34016279461,-49852.92850171668,-34323.763468714176,-61112.70917805543
2026-06-14T08:31:02.215549+00:00,1781425862.131757,154,Rest,trial_20260614_142816_r05_rest,rest,20256.29076436648,3774.4496791898823,-41801.98661112626,-56231.37876169429,-15045.49563473411,-49328.91420470646,-33900.868463619765,-60597.23324742714,20284.766886802543,3803.082263837131,-42482.731340257094,-56591.15244044691,-15114.316655912002,-49309.80346319717,-33985.045133238455,-60576.22260763915
2026-06-14T08:31:02.215549+00:00,1781425862.131771,156,Rest,trial_20260614_142816_r05_rest,rest,19732.656447012003,3253.4752194255852,-41083.422730377046,-56364.77397260356,-15454.398447799498,-49876.755461306035,-34338.26975086567,-61132.17754747601,19843.297582065774,3363.1105259788665,-40727.13592375945,-56054.5317595639,-15300.976073858272,-49753.70910807957,-34167.8153476495,-61014.78618559673
2026-06-14T08:31:02.215549+00:00,1781425862.131783,158,Rest,trial_20260614_142816_r05_rest,rest,20293.10408748437,3812.268830808262,-42482.15019490125,-56581.72000428677,-15108.75107154263,-49306.45070152888,-33982.09470297035,-60569.91941570275,19965.539272491846,3485.2404576826643,-41865.10793746805,-56550.56167251607,-15337.878803953983,-49640.92220555809,-34218.330290118494,-60899.2723702517
2026-06-14T08:31:02.215549+00:00,1781425862.131795,160,Rest,trial_20260614_142816_r05_rest,rest,19841.7329599539,3350.6606043172605,-40697.83278677855,-56063.651271301664,-15308.307446039611,-49772.61868388876,-34183.55097574604,-61034.96981083987,20274.619194819832,3792.9569235988765,-41766.00030255321,-56202.03092122447,-15032.196346783203,-49320.73346623582,-33889.826701858845,-60588.35960487838
2026-06-14T08:31:02.215549+00:00,1781425862.131808,162,Rest,trial_20260614_142816_r05_rest,rest,19978.793856953842,3480.5912948359605,-41907.33038274412,-56563.97271918926,-15326.41235904841,-49628.60639436322,-34215.178694150294,-60891.56101841462,19740.412502337993,3244.4451146656415,-41127.14274253163,-56390.25496128261,-15456.946546667403,-49871.83807752587,-34349.31151262659,-61132.82574806521
